n_src,n_src_per_leaf,digits,L,depth,n_threads,time_update,time_shift,time_res
20000,200,3,4.64159,5,1,1.9465e-05,1.83652e-05,1.10536e-05
20000,200,3,4.64159,5,1,1.849e-05,1.79632e-05,1.10289e-05
20000,200,3,4.64159,5,1,1.81967e-05,1.7479e-05,1.09244e-05
20000,200,3,4.64159,5,1,1.86362e-05,1.81453e-05,1.10869e-05
20000,200,3,4.64159,5,1,1.85071e-05,1.79596e-05,1.09884e-05
20000,200,3,4.64159,5,1,1.81466e-05,1.8467e-05,1.13066e-05
20000,200,3,4.64159,5,1,1.81407e-05,1.79693e-05,1.10108e-05
20000,200,3,4.64159,5,1,1.8156e-05,1.75663e-05,1.08897e-05
20000,200,3,4.64159,5,1,1.86769e-05,1.84832e-05,1.13811e-05
20000,200,3,4.64159,5,1,1.82517e-05,1.77404e-05,1.0985e-05
40000,200,3,5.84804,5,1,1.93955e-05,2.54686e-05,1.8195e-05
40000,200,3,5.84804,5,1,2.00695e-05,2.64147e-05,1.85032e-05
40000,200,3,5.84804,5,1,1.9632e-05,2.56081e-05,1.80771e-05
40000,200,3,5.84804,5,1,1.97641e-05,2.63211e-05,1.81592e-05
40000,200,3,5.84804,5,1,1.98198e-05,2.59996e-05,1.80923e-05
40000,200,3,5.84804,5,1,1.99207e-05,2.61317e-05,1.80807e-05
40000,200,3,5.84804,5,1,1.99237e-05,2.63347e-05,1.84208e-05
40000,200,3,5.84804,5,1,1.95563e-05,2.56025e-05,1.82396e-05
40000,200,3,5.84804,5,1,2.03431e-05,2.65618e-05,1.85792e-05
40000,200,3,5.84804,5,1,1.9392e-05,2.5485e-05,1.80329e-05
80000,200,3,7.36806,5,1,2.28535e-05,4.128e-05,3.17587e-05
80000,200,3,7.36806,5,1,2.22368e-05,4.16698e-05,3.21265e-05
80000,200,3,7.36806,5,1,2.29625e-05,4.12017e-05,3.1656e-05
80000,200,3,7.36806,5,1,2.21436e-05,4.06187e-05,3.17286e-05
80000,200,3,7.36806,5,1,2.26578e-05,4.0588e-05,3.12782e-05
80000,200,3,7.36806,5,1,2.18765e-05,4.27429e-05,3.40305e-05
80000,200,3,7.36806,5,1,2.23534e-05,4.17639e-05,3.24886e-05
80000,200,3,7.36806,5,1,2.20865e-05,4.08937e-05,3.16556e-05
80000,200,3,7.36806,5,1,2.28656e-05,4.16959e-05,3.18296e-05
80000,200,3,7.36806,5,1,2.2538e-05,4.18905e-05,3.23217e-05
160000,200,3,9.28318,6,1,4.84373e-05,2.32258e-05,1.06429e-05
160000,200,3,9.28318,6,1,4.75279e-05,2.29298e-05,1.06061e-05
160000,200,3,9.28318,6,1,4.73331e-05,2.26041e-05,1.08252e-05
160000,200,3,9.28318,6,1,4.69529e-05,2.2882e-05,1.07676e-05
160000,200,3,9.28318,6,1,4.98522e-05,2.32735e-05,1.08482e-05
160000,200,3,9.28318,6,1,4.94246e-05,2.28649e-05,1.05881e-05
160000,200,3,9.28318,6,1,4.93824e-05,2.29847e-05,1.0626e-05
160000,200,3,9.28318,6,1,4.65832e-05,2.21805e-05,1.05708e-05
160000,200,3,9.28318,6,1,4.67767e-05,2.26432e-05,1.05284e-05
160000,200,3,9.28318,6,1,4.72224e-05,2.23166e-05,1.05982e-05
320000,200,3,11.6961,6,1,5.0544e-05,3.35376e-05,1.75822e-05
320000,200,3,11.6961,6,1,5.05711e-05,3.45881e-05,1.80343e-05
320000,200,3,11.6961,6,1,4.86648e-05,3.3161e-05,1.79527e-05
320000,200,3,11.6961,6,1,5.0412e-05,3.40628e-05,1.76039e-05
320000,200,3,11.6961,6,1,5.07438e-05,3.33035e-05,1.79636e-05
